criterion,splitter,Min_samples_split,Min_samples_leaf,Ccp_alpha,Max_depth,Min_weight_fraction_leaf,Error-
friedman_mse,best,73,37,0.0,1,0.6,1339.4588032548336
friedman_mse,random,2,5,0.7999999999999999,1000,0.8999999999999999,295.1839788362682
absolute_error,random,73,5,0.4,100,0.0,357.211719330855
poisson,best,10,5,0.7,10,0.7,392.324992144471
squared_error,random,73,100,0.8999999999999999,1,0.7999999999999999,2195.0920673410815
absolute_error,best,37,5,0.7999999999999999,10,0.5,291.0914869888477
poisson,best,5,5,0.7999999999999999,10,0.2,392.324992144471
squared_error,random,73,2,0.7999999999999999,10000,0.7,372.62490695148637
poisson,best,5,100,0.4,10,0.6,633.4409871308835
friedman_mse,random,5,1,0.1,100,0.5,273.95294764560094
absolute_error,best,10,100,0.9999999999999999,1000,0.1,670.2815427509292
squared_error,random,100,5,0.7,100,0.30000000000000004,430.02885242792837
friedman_mse,random,100,73,0.8999999999999999,10,0.0,1719.788839536799
poisson,best,37,10,0.7999999999999999,100,0.2,392.324992144471
absolute_error,best,100,73,0.9999999999999999,100,0.1,540.1157527881041
squared_error,random,73,10,0.2,10,0.7,372.62490695148637
friedman_mse,best,2,10,0.7,100,0.4,305.4338730554929
absolute_error,random,2,5,0.7999999999999999,100,0.9999999999999999,278.50070631970266
absolute_error,random,37,2,0.6,10000,0.7999999999999999,325.67263940520445
squared_error,random,2,2,0.0,10,0.9999999999999999,322.6514067965151
squared_error,best,37,37,0.5,10,0.5,375.41923983198467
friedman_mse,best,10,5,0.7,10,0.9999999999999999,248.79173621566233
squared_error,best,100,73,0.9999999999999999,1,0.0,1339.4588032548336
squared_error,random,73,10,0.2,10,0.7999999999999999,372.62490695148637
squared_error,random,73,100,0.4,1,0.8999999999999999,2195.0920673410815
poisson,best,2,5,0.0,10000,0.30000000000000004,245.67429933764092
poisson,random,73,2,0.0,10,0.7999999999999999,372.62490695148637
friedman_mse,best,37,37,0.7,10000,0.4,375.41923983198467
friedman_mse,random,37,10,0.8999999999999999,10,0.9999999999999999,345.0307825284221
friedman_mse,random,5,10,0.9999999999999999,1,0.0,1845.5527276771957
squared_error,random,100,100,0.2,1,0.7999999999999999,2195.0920673410815
absolute_error,random,2,37,0.4,10,0.4,615.8263568773235
poisson,best,10,5,0.9999999999999999,100,0.0,392.324992144471
friedman_mse,random,37,1,0.7999999999999999,10000,0.9999999999999999,341.1446333779747
squared_error,best,37,100,0.2,10000,0.8999999999999999,621.035763408322
friedman_mse,best,2,5,0.8999999999999999,100,0.7999999999999999,253.10262843718664
absolute_error,best,100,73,0.5,10000,0.30000000000000004,540.1157527881041
absolute_error,random,37,100,0.6,1,0.0,1906.7561524163568
poisson,best,37,100,0.1,10,0.7999999999999999,632.7032287238026
squared_error,random,5,5,0.2,10,0.8999999999999999,311.0872636517512
poisson,best,73,100,0.4,10000,0.1,633.4409871308835
poisson,random,5,2,0.2,1,0.7999999999999999,1845.5527276771957
absolute_error,random,100,1,0.5,10000,0.1,414.30167286245353
absolute_error,random,10,37,0.9999999999999999,10,0.6,615.8263568773235
squared_error,random,73,73,0.5,10,0.9999999999999999,1719.788839536799
poisson,random,100,73,0.8999999999999999,100,0.6,1717.8047784528624
friedman_mse,best,5,100,0.0,1,0.4,1339.4588032548336
friedman_mse,best,37,1,0.9999999999999999,1,0.7,1339.4588032548336
friedman_mse,random,5,37,0.8999999999999999,10000,0.0,640.7141583346229
poisson,best,5,10,0.0,100,0.6,292.8656082025475
squared_error,best,10,10,0.5,100,0.9999999999999999,305.0162862574415
friedman_mse,random,2,73,0.2,10000,0.8999999999999999,1719.788839536799
poisson,random,10,10,0.5,1000,0.4,414.8085740368001
absolute_error,best,2,5,0.9999999999999999,1,0.5,1255.006691449814
absolute_error,best,37,73,0.5,1,0.8999999999999999,1255.006691449814
squared_error,best,73,5,0.2,1000,0.7,340.1385074117923
friedman_mse,best,10,73,0.0,10000,0.30000000000000004,605.7706768948514
friedman_mse,best,10,10,0.7,10,0.1,305.64341133920783
friedman_mse,random,5,73,0.2,10000,0.9999999999999999,1719.788839536799
squared_error,random,37,37,0.6,10000,0.4,640.7141583346229
squared_error,random,73,73,0.7,100,0.1,1719.788839536799
friedman_mse,best,100,5,0.9999999999999999,100,0.9999999999999999,361.5545225017406
poisson,best,73,73,0.0,10,0.2,601.4658178115698
friedman_mse,best,37,100,0.6,1,0.0,1339.4588032548336
absolute_error,random,10,37,0.1,100,0.4,615.8263568773235
friedman_mse,best,37,2,0.2,10000,0.2,293.8429028398633
