N_neighbours,weights,algorithm,Leaf_size,P,metric,Error-
3,uniform,brute,80,3.0,cityblock,343.66601610904576
9,distance,brute,50,1.5,manhattan,352.5877222517571
5,distance,ball_tree,90,4.0,cityblock,342.0405155115951
10,uniform,kd_tree,80,2.5,cityblock,387.8630390334571
8,distance,brute,80,3.0,l1,348.3674483850885
1,uniform,brute,40,2.5,manhattan,458.78278810408926
4,uniform,ball_tree,60,3.0,manhattan,348.4179972118959
3,uniform,ball_tree,60,4.5,manhattan,361.230179677819
8,distance,brute,90,2.0,l2,375.0074113945002
5,uniform,ball_tree,20,4.5,l2,362.4425501858738
2,distance,brute,90,2.0,euclidean,354.9291731488626
5,uniform,kd_tree,100,4.0,l2,351.38406319702625
9,uniform,brute,80,3.5,manhattan,370.7122965716649
6,uniform,ball_tree,100,3.0,l1,351.79627013630744
2,distance,kd_tree,10,3.0,cityblock,368.5467874845106
10,uniform,ball_tree,10,4.0,l1,393.5990892193307
10,uniform,ball_tree,100,1.5,l2,409.3882546468403
10,distance,kd_tree,60,2.5,l2,392.3203508914802
6,uniform,brute,10,4.5,l2,377.2082496902109
1,uniform,ball_tree,40,3.5,l2,440.7211152416357
7,distance,brute,70,3.0,l1,342.64703473903654
9,uniform,ball_tree,50,3.0,manhattan,387.2543886823627
3,distance,brute,20,2.5,l2,341.5872200874123
5,uniform,ball_tree,30,2.5,cityblock,365.853189591078
6,uniform,ball_tree,80,1.5,euclidean,366.4019919454772
4,uniform,ball_tree,100,2.0,cityblock,336.0042146840148
1,uniform,ball_tree,50,4.5,cityblock,460.6111895910781
6,distance,brute,10,2.5,euclidean,364.3714144264407
4,distance,ball_tree,40,3.5,cityblock,344.8769210037174
1,uniform,ball_tree,40,4.0,euclidean,440.7211152416357
7,uniform,ball_tree,50,4.5,l1,372.9310860329258
9,distance,brute,20,1.0,manhattan,352.5877222517571
8,uniform,kd_tree,50,2.5,l1,385.54315520446113
9,distance,brute,20,3.0,manhattan,352.5877222517571
10,uniform,ball_tree,80,2.5,l1,390.8044033457247
1,uniform,kd_tree,30,4.0,l1,491.75332713754665
3,uniform,brute,40,2.0,cityblock,343.66601610904576
8,uniform,ball_tree,90,4.5,l2,400.1321607806691
10,distance,ball_tree,30,4.0,cityblock,370.0196336823988
5,distance,ball_tree,60,4.0,cityblock,345.59633873251937
5,uniform,ball_tree,10,4.0,l2,342.6554237918216
10,uniform,kd_tree,70,4.5,l1,387.8630390334571
10,distance,ball_tree,40,4.5,euclidean,391.826360902285
1,uniform,brute,100,2.5,euclidean,458.78278810408926
2,uniform,kd_tree,10,1.5,l1,368.6089591078067
3,distance,ball_tree,100,3.5,manhattan,360.8721078066915
8,distance,kd_tree,90,3.0,manhattan,361.6252518742626
1,distance,kd_tree,100,3.0,cityblock,442.82332713754647
9,distance,kd_tree,10,4.0,cityblock,367.4512424462839
3,distance,kd_tree,30,1.5,l1,377.0261468401486
6,distance,kd_tree,50,2.0,cityblock,345.92380626647366
5,uniform,brute,80,3.5,l2,359.53616356877313
6,uniform,kd_tree,30,4.5,l1,366.0992503097894
10,uniform,ball_tree,70,1.0,cityblock,390.8044033457247
2,uniform,ball_tree,40,3.0,manhattan,384.9921375464685
3,distance,ball_tree,50,2.0,l2,364.7342771715946
6,distance,kd_tree,100,4.5,l1,333.26710339334505
7,distance,brute,100,1.0,l1,342.64703473903654
10,distance,ball_tree,10,4.0,manhattan,368.79222459578375
7,distance,brute,20,4.0,l1,342.64703473903654
5,distance,ball_tree,20,4.5,l2,353.8846663685907
8,uniform,kd_tree,60,4.5,manhattan,385.54315520446113
7,distance,ball_tree,80,3.5,cityblock,341.6662956569781
7,uniform,brute,50,4.0,manhattan,359.1915002655337
6,uniform,ball_tree,40,1.5,l1,360.5645755885996
1,uniform,brute,30,1.5,l1,458.78278810408926
6,distance,brute,70,2.0,l2,364.3714144264407
8,distance,brute,70,1.0,cityblock,348.3674483850885
1,distance,kd_tree,80,3.5,l2,442.82332713754647
8,uniform,ball_tree,40,3.0,euclidean,402.9592541821562
2,uniform,brute,50,4.5,euclidean,355.018810408922
8,uniform,brute,40,3.5,l2,387.6193424721189
8,distance,brute,70,1.0,l1,348.3674483850885
3,uniform,kd_tree,100,4.0,cityblock,365.18804832713766
1,uniform,kd_tree,60,4.0,manhattan,435.5475464684016
10,uniform,brute,90,4.5,l1,371.9459107806691
10,distance,kd_tree,30,1.0,cityblock,375.1360399025142
10,distance,kd_tree,100,2.0,l2,394.70792863152496
7,uniform,brute,70,1.5,l2,387.6002124269784
3,distance,kd_tree,20,3.5,manhattan,377.0261468401486
6,uniform,kd_tree,50,3.5,manhattan,362.1387143742253
10,uniform,kd_tree,90,2.0,l1,387.8630390334571
10,distance,brute,80,1.5,l1,353.51921084236164
3,uniform,kd_tree,30,4.5,euclidean,378.2228624535316
7,uniform,kd_tree,20,2.5,l2,385.5011099309612
5,distance,brute,100,2.0,l2,351.3554252298326
5,uniform,brute,90,3.5,manhattan,348.86965427509307
10,uniform,brute,10,2.5,cityblock,371.9459107806691
2,uniform,brute,60,3.5,l1,355.018810408922
4,uniform,kd_tree,90,2.0,l2,345.435971189591
1,uniform,kd_tree,50,3.5,l2,435.5475464684016
2,uniform,brute,60,3.5,l2,355.018810408922
10,uniform,brute,10,3.5,manhattan,371.9459107806691
9,uniform,ball_tree,90,1.0,l2,409.6131268071047
8,distance,kd_tree,60,1.5,manhattan,360.9398590241304
6,distance,brute,10,1.5,manhattan,334.33506603372973
3,uniform,kd_tree,80,1.0,euclidean,364.9737856257746
3,distance,brute,80,4.5,euclidean,341.5872200874123
6,distance,ball_tree,10,4.0,manhattan,337.2810613917
4,uniform,brute,100,2.0,euclidean,346.0643401486989
2,distance,brute,20,4.5,l2,354.9291731488626
6,distance,ball_tree,60,2.0,l2,358.4194357218033
2,distance,brute,20,2.5,manhattan,354.8446623296159
6,uniform,brute,10,3.0,l1,344.0910377942999
3,uniform,brute,10,1.0,cityblock,343.66601610904576
4,distance,brute,20,3.5,manhattan,343.24382311028484
6,distance,kd_tree,40,1.5,l2,360.9045074536832
9,distance,kd_tree,30,4.5,euclidean,389.6423202924802
8,uniform,ball_tree,50,2.5,cityblock,379.81218401487007
1,uniform,kd_tree,80,1.5,l2,442.82332713754647
4,distance,brute,100,2.0,l1,343.24382311028484
1,uniform,kd_tree,90,2.0,l2,442.82332713754647
8,distance,brute,50,4.0,l1,348.3674483850885
2,distance,kd_tree,60,2.5,cityblock,386.1534634448576
4,uniform,brute,100,4.5,cityblock,355.2714033457249
8,uniform,brute,90,2.0,euclidean,387.6193424721189
6,uniform,brute,10,4.0,l1,344.0910377942999
1,distance,kd_tree,30,4.0,l1,491.75332713754665
3,distance,ball_tree,60,4.0,cityblock,360.50251579925646
2,distance,brute,40,1.0,cityblock,354.8446623296159
6,distance,ball_tree,10,1.0,l1,337.2810613917
5,distance,kd_tree,50,2.5,manhattan,343.4312350637284
2,distance,ball_tree,40,4.5,l1,384.7993928128873
8,uniform,brute,70,1.5,cityblock,367.6837964684015
9,distance,kd_tree,100,1.5,cityblock,361.90270615389016
8,uniform,ball_tree,50,4.0,euclidean,402.9592541821562
3,distance,kd_tree,10,4.5,cityblock,355.0180278810408
3,distance,brute,30,4.5,l1,342.07252044609663
8,distance,kd_tree,40,4.0,l1,360.9398590241304
2,uniform,kd_tree,30,1.5,l2,403.8810873605949
3,distance,brute,70,2.5,l2,341.5872200874123
1,uniform,ball_tree,50,4.5,l2,440.7211152416357
9,distance,brute,60,4.0,cityblock,352.5877222517571
7,uniform,brute,100,1.0,euclidean,387.6002124269784
9,distance,kd_tree,80,3.5,l2,390.0059447554156
9,distance,brute,80,2.5,l2,381.6965534266674
3,uniform,brute,50,2.0,cityblock,343.66601610904576
10,uniform,ball_tree,40,1.5,l1,380.5300501858735
5,uniform,ball_tree,20,4.0,cityblock,365.853189591078
3,distance,ball_tree,20,1.5,euclidean,378.0296592549845
1,uniform,ball_tree,80,3.0,euclidean,433.1239219330855
6,distance,ball_tree,70,3.5,l2,355.7457100849649
2,distance,ball_tree,40,4.0,manhattan,384.7993928128873
4,distance,kd_tree,20,2.5,l2,351.8099714092832
9,distance,kd_tree,20,4.5,l2,389.6423202924802
10,uniform,brute,60,3.5,euclidean,404.0589739776954
4,distance,kd_tree,50,2.5,l2,349.2204728830518
1,uniform,kd_tree,70,3.5,l1,442.82332713754647
7,distance,ball_tree,30,4.5,l1,354.86176054236216
3,distance,kd_tree,70,1.5,cityblock,364.650434944238
6,distance,kd_tree,30,2.0,euclidean,364.7626518061279
3,uniform,ball_tree,90,2.5,manhattan,361.4097211895912
7,uniform,brute,70,2.0,manhattan,359.1915002655337
